# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
9228.9000 M61 916565 3 5701.9000 Sat57 Sat24 204 N Sat57->Sat13->Beijing0->Sat24
9232.9000 M113 975325 2 2242.9000 Sat35 Beijing0 262 N Sat35->Sat24->Beijing0
9235.0000 M89 511314 2 2245.0000 Sanya2 Beijing0 262 N Sanya2->Sat24->Beijing0
9239.0000 M105 988617 1 2249.0000 Sat24 Beijing0 262 N Sat24->Beijing0
9242.0000 M41 728040 2 5715.0000 Sat35 Beijing0 204 N Sat35->Sat24->Beijing0
9244.7000 M81 670813 2 2254.7000 Kashi1 Beijing0 262 N Kashi1->Sat24->Beijing0
9328.5000 M73 951216 2 2338.5000 Beijing0 Kashi1 261 N Beijing0->Sat24->Kashi1
9678.1000 M93 764386 2 2688.1000 Sanya2 Sat35 255 N Sanya2->Sat24->Sat35
9681.6000 M13 850969 2 6154.6000 Kashi1 Sat35 197 N Kashi1->Sat24->Sat35
9683.8000 M29 527347 3 6156.8000 Sat13 Sat35 197 N Sat13->Beijing0->Sat24->Sat35
9686.3000 M70 609515 3 6159.3000 Sat68 Sat35 197 N Sat68->Beijing0->Sat24->Sat35
9689.5000 M62 794029 4 6162.5000 Sat57 Sat35 197 N Sat57->Sat13->Beijing0->Sat24->Sat35
9691.8000 M77 553631 2 2701.8000 Beijing0 Sat35 254 N Beijing0->Sat24->Sat35
9693.9000 M85 503373 2 2703.9000 Kashi1 Sat35 254 N Kashi1->Sat24->Sat35
9856.0000 M98 982211 1 2866.0000 Sat13 Kashi1 252 N Sat13->Kashi1
9858.9000 M83 707936 1 2868.9000 Kashi1 Sat13 252 N Kashi1->Sat13
9862.8000 M91 964884 3 2872.8000 Sanya2 Sat13 252 N Sanya2->Sat24->Kashi1->Sat13
9866.3000 M19 874671 3 6339.3000 Sanya2 Sat13 194 N Sanya2->Sat24->Kashi1->Sat13
9869.2000 M108 718313 2 2879.2000 Sat24 Sat13 252 N Sat24->Kashi1->Sat13
9873.2000 M36 980511 2 6346.2000 Sat24 Sat13 194 N Sat24->Kashi1->Sat13
10341.6000 M44 880680 3 6814.6000 Sat35 Sat13 186 N Sat35->Sat24->Beijing0->Sat13
10345.2000 M75 884570 1 3355.2000 Beijing0 Sat13 244 N Beijing0->Sat13
10348.9000 M116 913054 3 3358.9000 Sat35 Sat13 244 N Sat35->Sat24->Beijing0->Sat13
10352.4000 M97 870826 1 3362.4000 Sat13 Beijing0 243 N Sat13->Beijing0
10585.9000 M96 706109 3 3595.9000 Sanya2 Sat68 240 N Sanya2->Sat24->Kashi1->Sat68
10588.0000 M104 500314 2 3598.0000 Sat13 Sat68 240 N Sat13->Kashi1->Sat68
10591.5000 M120 870589 3 3601.5000 Sat35 Sat68 239 N Sat35->Sat24->Kashi1->Sat68
10594.5000 M88 733640 1 3604.5000 Kashi1 Sat68 239 N Kashi1->Sat68
10598.2000 M112 917990 2 3608.2000 Sat24 Sat68 239 N Sat24->Kashi1->Sat68
10601.7000 M48 854239 3 7074.7000 Sat35 Sat68 182 N Sat35->Sat24->Kashi1->Sat68
10604.7000 M130 729461 2 3614.7000 Sat57 Kashi1 239 N Sat57->Sat68->Kashi1
10608.7000 M138 998232 1 3618.7000 Sat68 Kashi1 239 N Sat68->Kashi1
10612.5000 M122 948641 3 3622.5000 Sat46 Kashi1 239 N Sat46->Sat57->Sat68->Kashi1
10705.5000 M111 672749 3 3715.5000 Sat24 Sat57 238 N Sat24->Kashi1->Sat68->Sat57
10708.0000 M103 600773 3 3718.0000 Sat13 Sat57 238 N Sat13->Kashi1->Sat68->Sat57
10710.7000 M95 665997 4 3720.7000 Sanya2 Sat57 237 N Sanya2->Sat24->Kashi1->Sat68->Sat57
10713.4000 M23 661032 4 7186.4000 Sanya2 Sat57 180 N Sanya2->Sat24->Kashi1->Sat68->Sat57
10716.9000 M39 863541 3 7189.9000 Sat24 Sat57 180 N Sat24->Kashi1->Sat68->Sat57
10719.7000 M87 684104 2 3729.7000 Kashi1 Sat57 237 N Kashi1->Sat68->Sat57
10748.6000 M181 636051 1 2.6000 Sat24 Sat35 299 N Sat24->Sat35
10750.9000 M208 794486 1 4.9000 Sat57 Sat68 299 N Sat57->Sat68
10752.2000 M189 884863 1 6.2000 Sat35 Sat24 299 N Sat35->Sat24
10752.2000 M147 778216 1 6.2000 Beijing0 Sat13 299 N Beijing0->Sat13
10754.6000 M169 596711 1 8.6000 Sat13 Beijing0 299 N Sat13->Beijing0
10754.8000 M216 968340 1 8.8000 Sat68 Sat57 299 N Sat68->Sat57
10758.0000 M210 784336 1 12.0000 Sat68 Kashi1 299 N Sat68->Kashi1
10760.5000 M160 618421 1 14.5000 Kashi1 Sat68 299 N Kashi1->Sat68
10773.9000 M159 701506 2 27.9000 Kashi1 Sat57 299 N Kashi1->Sat68->Sat57
10827.1000 M202 837117 2 81.1000 Sat57 Kashi1 298 N Sat57->Sat68->Kashi1
11116.8000 M51 693107 3 7589.8000 Sat46 Sanya2 173 N Sat46->Sat57->Sat68->Sanya2
11119.3000 M203 610794 2 373.3000 Sat57 Sanya2 293 N Sat57->Sat68->Sanya2
11121.5000 M139 529000 1 4131.5000 Sat68 Sanya2 231 N Sat68->Sanya2
11125.3000 M131 936576 2 4135.3000 Sat57 Sanya2 231 N Sat57->Sat68->Sanya2
11128.5000 M67 790517 1 7601.5000 Sat68 Sanya2 173 N Sat68->Sanya2
11131.2000 M123 653097 3 4141.2000 Sat46 Sanya2 230 N Sat46->Sat57->Sat68->Sanya2
11133.3000 M211 514267 1 387.3000 Sat68 Sanya2 293 N Sat68->Sanya2
11137.3000 M59 991397 2 7610.3000 Sat57 Sanya2 173 N Sat57->Sat68->Sanya2
11141.1000 M168 941579 1 395.1000 Sanya2 Sat68 293 N Sanya2->Sat68
12207.4000 M199 591380 1 1461.4000 Sat46 Sat57 275 N Sat46->Sat57
12210.0000 M110 627290 4 5220.0000 Sat24 Sat46 212 N Sat24->Kashi1->Sat68->Sat57->Sat46
12212.2000 M102 546679 4 5222.2000 Sat13 Sat46 212 N Sat13->Kashi1->Sat68->Sat57->Sat46
12215.7000 M38 867273 4 8688.7000 Sat24 Sat46 155 N Sat24->Kashi1->Sat68->Sat57->Sat46
12219.3000 M22 894715 5 8692.3000 Sanya2 Sat46 155 N Sanya2->Sat24->Kashi1->Sat68->Sat57->Sat46
12222.8000 M207 870477 1 1476.8000 Sat57 Sat46 275 N Sat57->Sat46
12226.3000 M86 854050 3 5236.3000 Kashi1 Sat46 212 N Kashi1->Sat68->Sat57->Sat46
12229.1000 M215 699877 2 1483.1000 Sat68 Sat46 275 N Sat68->Sat57->Sat46
12231.4000 M94 559729 5 5241.4000 Sanya2 Sat46 212 N Sanya2->Sat24->Kashi1->Sat68->Sat57->Sat46
12235.0000 M158 889457 3 1489.0000 Kashi1 Sat46 275 N Kashi1->Sat68->Sat57->Sat46
12409.0000 M200 741053 2 1663.0000 Sat46 Sat68 272 N Sat46->Sat57->Sat68
12412.7000 M167 902152 2 1666.7000 Sanya2 Sat57 272 N Sanya2->Sat68->Sat57
12418.5000 M166 713417 3 1672.5000 Sanya2 Sat46 272 N Sanya2->Sat68->Sat57->Sat46
12719.1000 M180 510399 1 1973.1000 Sat24 Sat13 267 N Sat24->Sat13
12722.7000 M188 884448 2 1976.7000 Sat35 Sat13 267 N Sat35->Sat24->Sat13
12726.6000 M100 972383 1 5736.6000 Sat13 Sat24 204 N Sat13->Sat24
12729.1000 M172 623927 1 1983.1000 Sat13 Sat24 266 N Sat13->Sat24
12745.0000 M101 834520 2 5755.0000 Sat13 Sat35 204 N Sat13->Sat24->Sat35
