# time  ID  size  fromHost  toHost  TTL  isResponse
6990.0000 M115 888064 Sat35 Sanya2 300 N 
6990.0000 M116 913054 Sat35 Sat13 300 N 
6990.0000 M117 848083 Sat35 Sat24 300 N 
6990.0000 M118 678625 Sat35 Sat46 300 N 
6990.0000 M119 896607 Sat35 Sat57 300 N 
6990.0000 M120 870589 Sat35 Sat68 300 N 
6990.0000 M121 770945 Sat46 Beijing0 300 N 
6990.0000 M122 948641 Sat46 Kashi1 300 N 
6990.0000 M123 653097 Sat46 Sanya2 300 N 
6990.0000 M124 963752 Sat46 Sat13 300 N 
6990.0000 M125 582298 Sat46 Sat24 300 N 
6990.0000 M126 531670 Sat46 Sat35 300 N 
6990.0000 M127 921516 Sat46 Sat57 300 N 
6990.0000 M128 623274 Sat46 Sat68 300 N 
6990.0000 M129 892375 Sat57 Beijing0 300 N 
6990.0000 M130 729461 Sat57 Kashi1 300 N 
6990.0000 M131 936576 Sat57 Sanya2 300 N 
6990.0000 M132 799430 Sat57 Sat13 300 N 
6990.0000 M133 888356 Sat57 Sat24 300 N 
6990.0000 M134 844772 Sat57 Sat35 300 N 
6990.0000 M135 726913 Sat57 Sat46 300 N 
6990.0000 M136 545451 Sat57 Sat68 300 N 
6990.0000 M137 548331 Sat68 Beijing0 300 N 
6990.0000 M138 998232 Sat68 Kashi1 300 N 
6990.0000 M139 529000 Sat68 Sanya2 300 N 
6990.0000 M140 784614 Sat68 Sat13 300 N 
6990.0000 M141 759611 Sat68 Sat24 300 N 
6990.0000 M142 612761 Sat68 Sat35 300 N 
6990.0000 M143 992517 Sat68 Sat46 300 N 
6990.0000 M144 858992 Sat68 Sat57 300 N 
10746.0000 M145 737538 Beijing0 Kashi1 300 N 
10746.0000 M146 817114 Beijing0 Sanya2 300 N 
10746.0000 M147 778216 Beijing0 Sat13 300 N 
10746.0000 M148 990930 Beijing0 Sat24 300 N 
10746.0000 M149 698725 Beijing0 Sat35 300 N 
10746.0000 M150 542038 Beijing0 Sat46 300 N 
10746.0000 M151 916892 Beijing0 Sat57 300 N 
